Gene ID	BioCyc ID	Gene Symbol	
8277	-	TKTL1	
5080	-	PAX6	
113000	-	RPUSD1	
64285	-	RHBDF1	
55692	-	LUC7L	
9254	-	CACNA2D2	
8938	-	BAIAP3	
115939	-	TSR3	
9091	-	PIGQ	
57585	-	CRAMP1L	
7005	-	TEAD3	
6401	-	SELE	
55735	-	DNAJC11	
2328	MetaCyc:HS00223-MONOMER	FMO3	
29116	-	MYLIP	
27035	-	NOX1	
1870	-	E2F2	
5689	-	PSMB1	
6853	-	SYN1	
3720	-	JARID2	
6792	-	CDKL5	
57172	-	CAMK1G	
728642; 984	-	-	
65220	MetaCyc:HS00233-MONOMER	NADK	
7021	-	TFAP2B	
83741	-	TFAP2D	
9940	-	DLEC1	
9265	-	CYTH3	
53616	-	ADAM22	
6856	-	SYPL1	
1534	-	CYB561	
9043	-	SPAG9	
1951	-	CELSR3	
10157	MetaCyc:HS00244-MONOMER	AASS	
55200	-	PLEKHG6	
51188	-	SS18L2	
84954	-	MPND	
4257	-	MGST1	
1407	-	CRY1	
8993	-	PGLYRP1	
4784	-	NFIX	
6482	MetaCyc:HS00250-MONOMER	ST3GAL1	
64386	-	MMP25	
9235	-	IL32	
5310	-	PKD1	
23542	-	MAPK8IP2	
9862	-	MED24	
23221	-	RHOBTB2	
54497	-	HEATR5B	
7095	-	SEC62	
6224	-	RPS20	
7812	-	CSDE1	
9690	-	UBE3C	
5980	-	REV3L	
10178	-	TENM1	
5081	-	PAX7	
10747	-	MASP2	
389434	-	IYD	
199870	-	FAM76A	
80342	-	TRAF3IP3	
29954	-	POMT2	
51534	-	VTA1	
51085	-	MLXIPL	
9031	-	BAZ1B	
10048	-	RANBP9	
51513	-	ETV7	
83932	-	SPRTN	
51603	-	METTL13	
8798	-	DYRK4	
7756	-	ZNF207	
7384	-	UQCRC1	
83930	-	STARD3NL	
928	-	CD9	
57467	-	HHATL	
9918	-	NCAPD2	
25900	-	IFFO1	
2696	-	GIPR	
51533	-	PHF7	
56920	-	SEMA3G	
11188	-	NISCH	
23166	-	STAB1	
80199	-	FUZ	
6540	-	SLC6A13	
3423	MetaCyc:HS00286-MONOMER	IDS	
5646; 5645; 102725325	-	-	
7752	-	ZNF200	
920	-	CD4	
10233	-	LRRC23	
695	-	BTK	
3077	-	HFE	
22955	-	SCMH1	
2534	-	FYN	
3097	-	HIVEP2	
2326	-	FMO1	
6924	-	TCEB3	
11313	-	LYPLA2	
1185	-	CLCN6	
9902	-	MRC2	
654364	MetaCyc:HS04463-MONOMER	NME1-NME2	
6534	-	SLC6A7	
10867	-	TSPAN9	
55727	-	BTBD7	
9546	-	APBA3	
54903	-	MKS1	
51099	-	ABHD5	
3730	-	KAL1	
26993	-	AKAP8L	
54799	-	MBTD1	
51096	-	UTP18	
54476	-	RNF216	
54902	-	TTC19	
5725	-	PTBP1	
8193	-	DPF1	
9066	-	SYT7	
23395	-	LARS2	
5286	MetaCyc:HS00315-MONOMER	PIK3C2A	
5329	-	PLAUR	
54443	-	ANLN	
58525	-	WIZ	
2844; 23637	-	-	
1634	-	DCN	
54814	-	QPCTL	
5536	-	PPP5C	
23177	-	CEP68	
8491	-	MAP4K3	
27033	-	ZBTB32	
7305	-	TYROBP	
57146	-	TMEM159	
2556	-	GABRA3	
672	-	BRCA1	
2067	-	ERCC1	
933	-	CD22	
7869	-	SEMA3B	
51360	-	MBTPS2	
4007	-	PRICKLE3	
4057	-	LTF	
2137	MetaCyc:HS00333-MONOMER	EXTL3	
9971	-	NR1H4	
60481	MetaCyc:ENSG00000012660-MONOMER	ELOVL5	
240	MetaCyc:HS00336-MONOMER	ALOX5	
8284	-	KDM5D	
57658	-	CALCOCO1	
55148	-	UBR7	
11183	-	MAP4K5	
30845	-	EHD3	
5704	-	PSMC4	
23324	-	MAN2B2	
57709	-	SLC7A14	
5010	-	CLDN11	
51629	-	SLC25A39	
9961	-	MVP	
51667	-	NUB1	
5238	MetaCyc:HS00347-MONOMER	PGM3	
112611	-	RWDD2A	
1195	-	CLK1	
55703	-	POLR3B	
23357	-	ANGEL1	
9604	-	RNF14	
1774	-	DNASE1L1	
1663	-	DDX11	
50865	-	HEBP1	
9052	-	GPRC5A	
10046	-	MAMLD1	
923	-	CD6	
10460	-	TACC3	
23376	-	UFL1	
23649	-	POLA2	
23144	-	ZC3H3	
823	-	CAPN1	
55	-	ACPP	
4190	MetaCyc:HS00361-MONOMER	MDH1	
10463	-	SLC30A9	
10903	-	MTMR11	
1355	-	COX15	
440193	-	CCDC88C	
10138	-	YAF2	
10771	-	ZMYND11	
7454	-	WAS	
1800	MetaCyc:HS00367-MONOMER	DPEP1	
637	-	BID	
29881	-	NPC1L1	
64132	MetaCyc:HS00371-MONOMER	XYLT2	
727851; 84220; 285190; 729540	-	-	
81551	-	STMN4	
23386	-	NUDCD3	
3670	-	ISL1	
55349	MetaCyc:HS00375-MONOMER	CHDH	
53832	-	IL20RA	
1179	-	CLCA1	
22802	-	CLCA4	
55830	-	GLT8D1	
27032	-	ATP2C1	
3479	-	IGF1	
92745	-	SLC38A5	
10928	-	RALBP1	
22902	-	RUFY3	
1272	-	CNTN1	
6556	-	SLC11A1	
25937	-	WWTR1	
8540	-	AGPS	
63932	-	CXorf56	
477	-	ATP1A2	
55622	-	TTC27	
147948	-	ZNF582	
23584	-	VSIG2	
23187	-	PHLDB1	
8685	-	MARCO	
1591	MetaCyc:HS00395-MONOMER	CYP24A1	
56981	-	PRDM11	
57586	-	SYT13	
6591	-	SNAI2	
972	-	CD74	
3082	-	HGF	
54764	-	ZRANB1	
23154	-	NCDN	
25960	-	ADGRA2	
55734	-	ZFP64	
4331	-	MNAT1	
23034	-	SAMD4A	
864	-	RUNX3	
4361	-	MRE11A	
58473	-	PLEKHB1	
1992	-	SERPINB1	
64816	-	CYP3A43	
11136	-	SLC7A9	
6683	-	SPAST	
9369	-	NRXN3	
114879	-	OSBPL5	
9716	-	AQR	
1373	MetaCyc:HS00415-MONOMER	CPS1	
732	-	C8B	
2273	-	FHL1	
51507	-	RTFDC1	
2554	-	GABRA1	
55655	-	NLRP2	
57210	-	SLC45A4	
9921	-	RNF10	
55778	-	ZNF839	
64429	-	ZDHHC6	
57476	-	GRAMD1B	
6050	-	RNH1	
4719	-	NDUFS1	
9821	-	RB1CC1	
23071	-	ERP44	
211	MetaCyc:HS00424-MONOMER	ALAS1	
330	-	BIRC3	
11215	-	AKAP11	
51022	-	GLRX2	
6617	-	SNAPC1	
51071	-	DERA	
11171	-	STRAP	
1244	-	ABCC2	
50619	-	DEF6	
51177	-	PLEKHO1	
2730	MetaCyc:ENSG00000023909-MONOMER	GCLM	
23304	-	UBR2	
30846	-	EHD2	
55635	-	DEPDC1	
25901	-	CCDC28A	
58528	-	RRAGD	
3298	-	HSF2	
51230	-	PHF20	
8630	-	HSD17B6	
10062	-	NR1H3	
1890	MetaCyc:HS00442-MONOMER	TYMP	
29781	-	NCAPH2	
10953	-	TOMM34	
11231	-	SEC63	
23633	-	KPNA6	
7431	-	VIM	
355	-	FAS	
8635	-	RNASET2	
960	-	CD44	
3755	-	KCNG1	
56895	MetaCyc:HS00452-MONOMER	AGPAT4	
57823	-	SLAMF7	
11119	-	BTN3A1	
4285	-	MIPEP	
5583	-	PRKCH	
3645	-	INSRR	
3459	-	IFNGR1	
11285	MetaCyc:HS00459-MONOMER	B4GALT7	
9047	-	SH2D2A	
7444	-	VRK2	
7133	-	TNFRSF1B	
55591	-	VEZT	
5452	-	POU2F2	
65980	-	BRD9	
6642	-	SNX1	
9519	-	TBPL1	
56938	-	ARNTL2	
9774	-	BCLAF1	
55334	-	SLC39A9	
286	-	ANK1	
3381	-	IBSP	
51106	-	TFB1M	
9135	-	RABEP1	
3149	-	HMGB3	
23279	-	NUP160	
578	-	BAK1	
4593	-	MUSK	
22807	-	IKZF2	
2896	-	GRN	
51306	-	FAM13B	
57514	-	ARHGAP31	
55166	-	CENPQ	
6301	-	SARS	
8498	-	RANBP3	
5926	-	ARID4A	
7260	-	TSSC1	
10908	-	PNPLA6	
8100	-	IFT88	
56052	-	ALG1	
55596	-	ZCCHC8	
10061	-	ABCF2	
54480	MetaCyc:HS12080-MONOMER	CHPF2	
57554	-	LRRC7	
2530	-	FUT8	
55236	-	UBA6	
9846	-	GAB2	
535	MetaCyc:ENSG00000033627-MONOMER	ATP6V0A1	
8554	-	PIAS1	
9497	-	SLC4A7	
321	-	APBA2	
5606	-	MAP2K3	
79645	-	EFCAB1	
9168	-	TMSB10	
28990	-	ASTE1	
25897	-	RNF19A	
8504	-	PEX3	
11345	-	GABARAPL2	
4653	-	MYOC	
26751	-	SH3YL1	
84908	-	FAM136A	
7414	-	VCL	
55789	-	DEPDC1B	
23604	-	DAPK2	
8439	-	NSMAF	
159	-	ADSS	
26228	-	STAP1	
7077	-	TIMP2	
5981	-	RFC1	
55773	-	TBC1D23	
8452	-	CUL3	
9172	-	MYOM2	
5009	MetaCyc:HS00516-MONOMER	OTC	
10858	-	CYP46A1	
26009	-	ZZZ3	
6570	-	SLC18A1	
9099	-	USP2	
846	-	CASR	
27175	-	TUBG2	
51121	-	RPL26L1	
2324	-	FLT4	
54888	MetaCyc:HS12087-MONOMER	NSUN2	
54455	-	FBXO42	
4238	-	MFAP3	
84245	-	MRI1	
4234	-	METTL1	
3224	-	HOXC8	
175	-	AGA	
55300	MetaCyc:HS00529-MONOMER	PI4K2B	
259282	-	BOD1L1	
27430	-	MAT2B	
7092	-	TLL1	
23644	-	EDC4	
7204	-	TRIO	
1462	-	VCAN	
23274	-	CLEC16A	
4481	-	MSR1	
999	-	CDH1	
23517	-	SKIV2L2	
1767	-	DNAH5	
9765	-	ZFYVE16	
79567	-	FAM65A	
729	-	C6	
26064	-	RAI14	
11063	-	SOX30	
11284	-	PNKP	
54831	-	BEST2	
23035	-	PHLPP2	
54908	-	SPDL1	
27067	-	STAU2	
54896	-	PQLC2	
1497	-	CTNS	
65078	-	RTN4R	
79142	-	PHF23	
1008	-	CDH10	
3631	MetaCyc:HS00551-MONOMER	INPP4A	
5874	-	RAB27B	
5685	-	PSMA4	
23026	-	MYO16	
55341	-	LSG1	
10039	-	PARP3	
3371	-	TNC	
90326	-	THAP3	
140876	-	FAM65C	
55775	-	TDP1	
84883	-	AIFM2	
56918	-	C2orf83	
55812	-	SPATA7	
9440	-	MED17	
54884	-	RETSAT	
822	-	CAPG	
1175	-	AP2S1	
7399	-	USH2A	
11055	-	ZPBP	
7038	MetaCyc:ENSG00000042832-MONOMER	TG	
10863	-	ADAM28	
8538	-	BARX2	
54165	-	DCUN1D1	
23338	-	JADE2	
7546	-	ZIC2	
3937	-	LCP2	
54802	-	TRIT1	
153	-	ADRB1	
2981	-	GUCA2B	
9820	-	CUL7	
1495	-	CTNNA1	
5256	MetaCyc:HS00576-MONOMER	PHKA2	
54875	-	CNTLN	
2042	-	EPHA3	
3309	-	HSPA5	
1829	-	DSG2	
8481	-	OFD1	
2824	-	GPM6B	
51438	-	MAGEC2	
80243	-	PREX2	
22884	-	WDR37	
64848	-	YTHDC2	
56474	MetaCyc:HS00585-MONOMER	CTPS2	
51606	MetaCyc:HS00586-MONOMER	ATP6V1H	
5431	-	POLR2B	
56204	-	FAM214A	
116984	-	ARAP2	
7175	-	TPR	
1356	MetaCyc:HS00590-MONOMER	CP	
23247	-	KIAA0556	
84062	-	DTNBP1	
7504	-	XK	
57101	-	ANO2	
57102	-	C12orf4	
6322	-	SCML1	
55841	-	WWC3	
395	-	ARHGAP6	
27146	-	FAM184B	
4134	-	MAP4	
57120	-	GOPC	
6098	-	ROS1	
57646	-	USP28	
9734	-	HDAC9	
26262	-	TSPAN17	
51491	-	NOP16	
57545	-	CC2D2A	
50484	-	RRM2B	
168850	-	ZNF800	
608	-	TNFRSF17	
92017	-	SNX29	
55885	-	LMO3	
55173	-	MRPS10	
2978	-	GUCA1A	
51773	-	RSF1	
55187	-	VPS13D	
10659	-	CELF2	
23196	-	FAM120A	
23518	-	R3HDM1	
1298	-	COL9A2	
4254	-	KITLG	
1161	-	ERCC8	
11174	-	ADAMTS6	
9563	MetaCyc:HS00614-MONOMER	H6PD	
9341	-	VAMP3	
8863	-	PER3	
10911	-	UTS2	
3604	-	TNFRSF9	
55040	-	EPN3	
4052	-	LTBP1	
5954; 440034	-	-	
2006	-	ELN	
5982	-	RFC2	
57492	-	ARID1B	
81037	-	CLPTM1L	
23327	-	NEDD4L	
50943	-	FOXP3	
89801	-	PPP1R3F	
3074	MetaCyc:HS00629-MONOMER	HEXB	
79810	-	PTCD2	
340533	-	KIAA2022	
51528	-	JKAMP	
27122	-	DKK3	
102725117; 7984	-	-	
9603	-	NFE2L3	
63933	-	MCUR1	
51474	-	LIMA1	
25875	-	LETMD1	
9498	-	SLC4A8	
10319	-	LAMC3	
5733	-	PTGER3	
79931	-	TNIP3	
5601	-	MAPK9	
91522	-	COL23A1	
9564	-	BCAR1	
84067	-	FAM160A2	
9709	-	HERPUD1	
9454	-	HOMER3	
5888	-	RAD51	
10721	-	POLQ	
5291	MetaCyc:HS00644-MONOMER	PIK3CB	
1535	-	CYBA	
84321	-	THOC3	
23593	-	HEBP2	
10198	-	MPHOSPH9	
54477	-	PLEKHA5	
5652	-	PRSS8	
80143	-	SIKE1	
23223	-	RRP12	
57600	-	FNIP2	
6307	MetaCyc:HS00650-MONOMER	MSMO1	
55761	-	TTC17	
60529	-	ALX4	
23105	-	FSTL4	
1112	-	FOXN3	
728464	-	METTL24	
8574	-	AKR7A2	
51154	-	MRTO4	
4826	-	NNAT	
55850	-	USE1	
23101	-	MCF2L2	
83714	-	NRIP2	
3909	-	LAMA3	
55745	-	AP5M1	
29945	-	ANAPC4	
3784	-	KCNQ1	
27095	-	TRAPPC3	
9967	-	THRAP3	
29085	-	PHPT1	
954	MetaCyc:ENSG00000054179-MONOMER	ENTPD2	
4065	-	LY75	
51742	-	ARID4B	
23596	-	OPN3	
10806	-	SDCCAG8	
5798	-	PTPRN	
55733	-	HHAT	
23095	-	KIF1B	
2296	-	FOXC1	
25771	-	TBC1D22A	
23224	-	SYNE2	
57475	-	PLEKHH1	
10079	-	ATP9A	
23626	-	SPO11	
140689	-	CBLN4	
25884	-	CHRDL2	
23201	-	FAM168A	
84957	-	RELT	
2581	-	GALC	
51602	-	NOP58	
26099	-	SZRD1	
3757	-	KCNH2	
8454	-	CUL1	
10827	-	FAM114A2	
26999	-	CYFIP2	
23118	-	TAB2	
116254	-	GINM1	
5610	-	EIF2AK2	
57602	-	USP36	
58508	-	KMT2C	
55283	-	MCOLN3	
114800	-	CCDC85A	
23369	-	PUM2	
84545	-	MRPL43	
3700	-	ITIH4	
3697	-	ITIH1	
54969	-	C4orf27	
51663	-	ZFR	
55609	-	ZNF280C	
10886	-	NPFFR2	
112885	-	PHF21B	
7185	-	TRAF1	
54542	-	RC3H2	
3833	-	KIFC1	
55540	-	IL17RB	
10758	-	TRAF3IP2	
8908	MetaCyc:HS00703-MONOMER	GYG2	
131566	-	DCBLD2	
6317	-	SERPINB3	
6646	-	SOAT1	
5318	-	PKP2	
4438	-	MSH4	
2155	-	F7	
2665	-	GDI2	
639	-	PRDM1	
9474	-	ATG5	
57458	-	TMCC3	
57095	-	PITHD1	
57504	-	MTA3	
8975	-	USP13	
23200	-	ATP11B	
3918	-	LAMC2	
5218	-	CDK14	
29927	-	SEC61A1	
4659	-	PPP1R12A	
5923	-	RASGRF1	
816	-	CAMK2B	
9696	-	CROCC	
55718; 101060521	-	-	
493	-	ATP2B4	
9877; 441155	-	-	
55781	-	RIOK2	
54432	-	YIPF1	
55706	-	NDC1	
1608	-	DGKG	
84256	-	FLYWCH1	
64718	-	UNKL	
6916	MetaCyc:HS00728-MONOMER	TBXAS1	
64761	-	PARP12	
5832	MetaCyc:HS00730-MONOMER	ALDH18A1	
6894	-	TARBP1	
5188	-	GATB	
4084	-	MXD1	
5128	-	CDK17	
548645	-	DNAJC25	
6515	-	SLC2A3	
5662	-	PSD	
9150	-	CTDP1	
8531	-	YBX3	
55359	-	STYK1	
65125	-	WNK1	
55749	-	CCAR1	
11054	-	OGFR	
2769	-	GNA15	
84699	-	CREB3L3	
55650	-	PIGV	
10076	-	PTPRU	
9410	-	SNRNP40	
23504	-	RIMBP2	
1301	-	COL11A1	
79832	-	QSER1	
51660	-	MPC1	
30	MetaCyc:HS00752-MONOMER	ACAA1	
586	-	BCAT1	
51564	-	HDAC7	
11178	-	LZTS1	
93166	-	PRDM6	
7478	-	WNT8A	
6676	-	SPAG4	
10787	-	NCKAP1	
60488	-	MRPS35	
2983	-	GUCY1B3	
6433	-	SFSWAP	
10188	-	TNK2	
23041	-	MON2	
1001	-	CDH3	
416	-	ARSF	
65056	-	GPBP1	
84649	-	DGAT2	
7771	-	ZNF112	
1431	MetaCyc:ENSG00000062485-MONOMER	CS	
4058	-	LTK	
64951	-	MRPS24	
63916	-	ELMO2	
23063	-	WAPAL	
81671	-	VMP1	
10513	-	APPBP2	
5424	-	POLD1	
124925	-	SEZ6	
1975	-	EIF4B	
28968	-	SLC6A16	
29998	-	GLTSCR1	
56848	-	SPHK2	
6141	-	RPL18	
770	-	CA11	
79763	-	ISOC2	
11338	-	U2AF2	
29924	-	EPN1	
55588	-	MED29	
57491	-	AHRR	
2928	-	GSC2	
10838	-	ZNF275	
8776	-	MTMR1	
2817	-	GPC1	
57143	-	ADCK1	
3029	-	HAGH	
6047	-	RNF4	
841	-	CASP8	
22998	-	LIMCH1	
55726	-	ASUN	
51768	-	TM7SF3	
1747	-	DLX3	
53340	-	SPA17	
10077	-	TSPAN32	
8839	-	WISP2	
58524	-	DMRT3	
10402	-	ST3GAL6	
9914	-	ATP2C2	
4804	-	NGFR	
50937	-	CDON	
6873	-	TAF2	
28996	-	HIPK2	
23534	-	TNPO3	
4207	-	MEF2BNB-MEF2B	
8625	-	RFXANK	
54929	-	TMEM161A	
9170	-	LPAR2	
5476	-	CTSA	
10147	-	SUGP2	
6558	-	SLC12A2	
28966	-	SNX24	
2139	-	EYA2	
1265	-	CNN2	
10347	-	ABCA7	
9627	-	SNCAIP	
11218	-	DDX20	
53339	-	BTBD1	
55711	-	FAR2	
8537	-	BCAS1	
5449	-	POU1F1	
1117	-	CHI3L2	
22904	-	SBNO2	
5378	-	PMS1	
10362	-	HMG20B	
10203	-	CALCRL	
6882	-	TAF11	
23294	-	ANKS1A	
8943	-	AP3D1	
7629	-	ZNF76	
9351	-	SLC9A3R2	
4913	-	NTHL1	
54887	-	UHRF1BP1	
2773	-	GNAI3	
3843	-	IPO5	
4942	MetaCyc:HS00832-MONOMER	OAT	
10885	-	WDR3	
5586	-	PKN2	
57418	-	WDR18	
9697	-	TRAM2	
9423	-	NTN1	
9340	-	GLP2R	
55388	-	MCM10	
1606	-	DGKA	
2065	-	ERBB3	
54763	-	ROPN1	
91526	-	ANKRD44	
3735	-	KARS	
23536	-	ADAT1	
10954	-	PDIA5	
55633	-	TBC1D22B	
4710	-	NDUFB4	
23013	-	SPEN	
4638	-	MYLK	
55854	-	ZC3H15	
6416	-	MAP2K4	
55248	-	TMEM206	
9892	-	SNAP91	
9748	-	SLK	
51167	-	CYB5R4	
1308	-	COL17A1	
119391	-	GSTO2	
55176	-	SEC61A2	
5588	-	PRKCQ	
7089	-	TLE2	
51665	-	ASB1	
83641	-	FAM107B	
4199	-	ME1	
23216	-	TBC1D1	
8621	-	CDK13	
10797	-	MTHFD2	
84679	-	SLC9A7	
55810	-	FOXJ2	
4904	-	YBX1	
5141	-	PDE4A	
5525	-	PPP2R5A	
1496	-	CTNNA2	
1994	-	ELAVL1	
7075	-	TIE1	
57609	-	DIP2B	
6602	-	SMARCD1	
9682	-	KDM4A	
4802	-	NFYC	
84217	-	ZMYND12	
6550	-	SLC9A3	
25791	-	NGEF	
259266	-	ASPM	
8832	-	CD84	
64834	-	ELOVL1	
6688	-	SPI1	
30834	-	ZNRD1	
744	-	MPPED2	
51208	-	CLDN18	
27107	-	ZBTB11	
4287	-	ATXN3	
9950	-	GOLGA5	
2263	-	FGFR2	
55631	-	LRRC40	
51015	-	ISOC1	
2009	-	EML1	
60487	-	TRMT11	
55623	-	THUMPD1	
91283	-	MSANTD3	
26153	-	KIF26A	
55102	-	ATG2B	
10565	-	ARFGEF1	
57623	-	ZFAT	
9650	-	MTFR1	
10734	-	STAG3	
2235	MetaCyc:HS00891-MONOMER	FECH	
4649	-	MYO9A	
8653	-	DDX3Y	
5214	MetaCyc:HS00894-MONOMER	PFKP	
3422	MetaCyc:HS00895-MONOMER	IDI1	
6672	-	SP100	
1316	-	KLF6	
8611	-	PPAP2A	
4756	-	NEO1	
23471	-	TRAM1	
5255	MetaCyc:HS00901-MONOMER	PHKA1	
7132	-	TNFRSF1A	
782	-	CACNB1	
7813	-	EVI5	
9399	-	STOML1	
5315	MetaCyc:HS00906-MONOMER	PKM	
54505	-	DHX29	
30836	-	DNTTIP2	
79091	-	METTL22	
7158	-	TP53BP1	
7216	-	TRO	
51018	-	RRP15	
387	-	RHOA	
1659	-	DHX8	
5590	-	PRKCZ	
7544	-	ZFY	
55699	-	IARS2	
6857	-	SYT1	
89795	-	NAV3	
3421	MetaCyc:ENSG00000067829-MONOMER	IDH3G	
79641	-	ROGDI	
57595	-	PDZD4	
492	-	ATP2B3	
6093	-	ROCK1	
865	-	CBFB	
5165	-	PDK3	
8692	MetaCyc:HS00926-MONOMER	HYAL2	
9759	-	HDAC4	
11186	-	RASSF1	
2261	-	FGFR3	
3430	-	IFI35	
63897	-	HEATR6	
80347	-	COASY	
79990	-	PLEKHH3	
4205	-	MEF2A	
55593	-	OTUD5	
7030	-	TFE3	
4943	-	TBC1D25	
2182	MetaCyc:HS00935-MONOMER	ACSL4	
3632	MetaCyc:HS00936-MONOMER	INPP5A	
27238	-	GPKOW	
56850	-	GRIPAP1	
24140	-	FTSJ1	
55771	-	PRR11	
65055	-	REEP1	
23250	-	ATP11A	
25885	-	POLR1A	
9741	-	LAPTM4A	
57217	-	TTC7A	
51447	MetaCyc:HS00942-MONOMER	IP6K2	
286749	-	STON1-GTF2A1L	
55133	-	SRBD1	
3796	-	KIF2A	
10235	-	RASGRP2	
23198	-	PSME4	
57560	-	IFT80	
22933	-	SIRT2	
27248	-	ERLEC1	
5526	-	PPP2R5B	
5837	MetaCyc:HS00949-MONOMER	PYGM	
8712	-	PAGE1	
5307	-	PITX1	
57113	-	TRPC7	
375449	-	MAST4	
221395	-	ADGRF5	
54549	-	SDK2	
8756	-	ADAM7	
55746	-	NUP133	
64710	-	NUCKS1	
55737	-	VPS35	
10294	-	DNAJA2	
602	-	BCL3	
8514	RETL1328306-WGS:GSTH-2009-MONOMER	KCNAB2	
10060	-	ABCC9	
51083	-	GAL	
29121	-	CLEC2D	
139341	-	FUNDC1	
4129	MetaCyc:HS00966-MONOMER	MAOB	
6095	-	RORA	
1815	-	DRD4	
7049	-	TGFBR3	
23285	-	KIAA1107	
8399	-	PLA2G10	
54626	-	HES2	
483	-	ATP1B3	
4734	-	NEDD4	
9488	-	PIGB	
5597	-	MAPK6	
10681	-	GNB5	
5873	-	RAB27A	
27440	-	CECR5	
7353	-	UFD1L	
4040	-	LRP6	
2984	-	GUCY2C	
